,Age,Gender,AcademicStatus,TypeSocialMedia,HoursSMuse,FrqUse,SMCap_1,SMCap_2,EduOutcome,PerformanceExpentancy,EasyofUse,EffortExpentancy,SocialInfuence,SocialMediaRisk,FacilitatingConditions,SelfControl,BehaviouralIntentiontoUse,VountarinessofUse,Experience
0,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
1,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Often,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
2,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
3,18 - 24,Female,Student - Full time,Instagram,3-5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
4,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
5,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Always,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
6,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
7,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
8,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Always,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
9,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Often,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
10,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
11,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
12,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Always,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
